Project.ID,Requirement.description,NFR
1,'The application shall match the color of the schema set forth by Department of Homeland Security',US
1,' If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30',US
1,' If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100',US
1,'The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts',SE
1,'The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.',US
2,'The look and feel of the system shall conform to the user interface standards of the smart device.',US
2,' The user interface shall have standard menus  buttons for navigation',US
2,'The system shall have a professional appearance',US
2,'The product shall have a consistent color scheme and fonts.',US
2,'The system shall be used by realtors with no training.',US
2,'The system shall be intuitive and self explanatory.',US
2,'The product shall be easy for a realtor to learn.',US
2,'The product shall use symbols and words that are naturally understandable by the realtor community.',US
2,'The product shall be installed by an untrained realtor   without recourse to separately-printed instructions.',US
2,'90% of untrained realtors shall be able to install the product on their device without printed instructions',US
2,'Only registered realtors shall be able to access the system.',SE
2,'Every user of the system shall be authenticated and authorized.',SE
2,'The product shall prevent its data from incorrect data being introduced.',SE
3,'The system shall be easy to use by the Program Administrators/Nursing Staff Members.',US
3,'All of the users shall be able to use the system after one day of training.',US
3,'The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.',US
3,'The number of mistakes noted by the students shall be decreased by 50% in the first year.',US
3,'The system shall be intuitive to the Program Administrators/Nursing Staff Members.',US
3,'2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.',US
3,'The system shall use symbols and words that are naturally understandable by the user community.',US
3,'The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.',US
3,'Only authorized users shall have access to clinical site information.',SE
3,'Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.',SE
3,'Only authorized users shall have access to studentsï¿½ personal information.',SE
3,'Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to studentsï¿½ personal information.',SE
3,'Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.',SE
3,'Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.',SE
3,'The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.',SE
3,'The system shall protect private information in accordance with the organizationï¿½s information policy.',SE
3,'The system shall be built such that it is as secure as possible from malicious interference.',SE
3,'The system shall use the organizationï¿½s standard virus protection software to help monitor threats to itself.',SE
4,'The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.',US
4,'All screens created as part of the Disputes application must comply with corporate standards for interface creation.',US
4,'The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.',US
4,'100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.',US
4,'100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.',US
4,'100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.',US
4,'The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.',SE
4,'Only users with Update access must be able to initiate dispute requests.',SE
4,'The Disputes application shall ensure that only authorized users are allowed to logon to the application.',SE
4,' All authorized users  once authenticated must be able to logon to the Disputes System',SE
4,'The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing userï¿½s access level.  The report will be reviewed for auditing purposes.',SE
4,'All additions of new users and modifications to userï¿½s access shall be recorded on the User Report.',SE
4,' If a user account is revoked  it can only be re-instantiated by the System Administrator.',SE
4,'Only the System Administrator shall be able to reset a revoked user logon account',SE
4,'The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.',SE
4,'All updates to data files or database must be initiated from the Disputes System.',SE
5,'The product shall comply with corporate User Interface Guidelines',US
5,'The product shall comply with corporate color scheme',US
5,'The appearance of the product shall appear professional',US
5,'The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.',US
5,'The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.',US
5,'Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.',US
5,'The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training',US
5,'The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.',US
5,'Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.',SE
5,'Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.',SE
5,'Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.',SE
5,'Only valid data shall be entered into the system.  No invalid data shall be entered into the system.',SE
5,'One insurance company shall not be able to view another insurance companys claim data.',SE
5,'The product shall free of computer viruses.',SE
5,'The system shall prevent malicious attacks including denial of service.',SE
6,' The productï¿½s Look and Feel shall be able to incorporate aspects of the customerï¿½s organization such as logo  branding  and identity',US
6,'The product shall have a conservative and professional appearance.',US
6,'The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.',US
6,'The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.',US
6,'The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.',US
6,'The product shall allow the user to select a chosen language from one of the target market countries.',US
6,'The product shall allow for customization of start page and views preferences.',US
6,' An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.',US
6,'The product shall use a standard navigation menu familiar to most web users.',US
6,'The product shall allow for intuitive searching of available conference rooms.',US
6,'The product shall conform to the Americans with Disabilities Act.',US
6,'A new user must be able to be added to the system within 10 minutes.  90% of new users are able to log into the system within 10 minutes.',US
6,'Every registered user will have access to the productï¿½s support site via the Internet.  70% of registered users shall find a solution to their problem within 5 minutes of using the support site.',US
6,' The product shall be translated into foreign languages other than the target market countriesï¿½ languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that marketï¿½s language.',US
6,'The product shall ensure that only company employees or external users with company-approved user IDs may have product access.  100% of all logons shall be by either company employees or external users with company-approved user IDs.',SE
6,'Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.',SE
6,'The product shall ensure that the databaseï¿½s data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.',SE
6,'The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systemsï¿½ data shall remain 100% uncorrupted each time malicious data is input into the product.',SE
6,'The product shall have the ability to receive automatic software updates as new threats emerge.  100% of customers will be able to receive automatic software updates transmitted to the installed product.',SE
6,'The product shall be able to display calendar dates and times according to the userï¿½s locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.',US
7,'The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.',SE
7,'The System shall granularly control access rights to all major subsystems.  It should be possible to assign access rights to all subsystems independently.',SE
8,'The website shall be attractive to all audiences.  The website shall appear to be fun and the colors should be bright and vibrant.',US
8,' The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.',US
8,' The website design should be modern  clean  and concise.',US
8,'The product should be able to be used by 90% of novice users on the Internet.',US
8,' Users should only have to navigate through a maximum of 4 pages  to create an account with the website.',US
8,'Users should be able to access their streaming movies in under 2 clicks after logging into the website.',US
8,'An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.',US
8,'An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.',US
8,'The product shall retain the customerï¿½s buying preferences and information.',US
8,'The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies.  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.',US
8,'The product shall use symbols and words that are naturally understandable by users familiar with websites',US
8,'The website will use standard Internet conventions when interacting with the user.',US
8,' All credit card information will be secured on the server  and only accessible by authorized Izogn administrators.  Information will be encrypted in the database.',SE
8,'The website will provide a help section with answers and solutions to common problems.',US
8,'Only registered customers can purchase streaming movies.',SE
8,' A customer can only stream a movie if they purchased it  and are within the 2 day viewing period.',SE
8,'Only authorized personnel can access customer records in the database.',SE
8,'Only administrators can activate a pre-paid card.',SE
8,'Only authorized personnel can access sales information.',SE
8,'The website shall prevent its data from being corrupted when incorrect data is entered in.',SE
8,' The website shall protect itself from intentional abuse  and notify the administrator at all occurrences.',SE
8,'Data integrity scripts will be run on a weekly basis to verify the integrity of the database.',SE
8,' The website shall make its user aware of its information practices before collection data from them via a Privacy Policy  accessible on all pages of the website.',SE
8,'The system shall notify customers of changes to its information policy.',SE
8,'The system shall reveal private information only in compliance with the organizationï¿½s information policy.',SE
8,' All customer information will be stored on a secure database  accessible only to authorized personnel.',SE
8,'All credit card information will be encrypted in the database.',SE
8,'The streaming server will have anti-virus software to prevent infection of malicious viruses.',SE
8,'The website should cater to all tribes in Nigeria.',US
8,'The website shall not be offensive to religious or ethnic groups.',US
8,' The website should appeal to all Africans  not only Nigerians.',US
10,'The product shall simulate the look of ships at sea.',US
10,'The product shall display the grids within a circle as a view from a periscope.',US
10,'The product shall display each type of ship in a grid using an image of the specific type of ship.',US
10,' When the offensive player takes a shot  the product shall simulate the sound of a ship at sea.',US
10,' When a shot is marked as a miss  the product shall simulate the sound of a shot missing its target.',US
10,' When a shot is marked as a hit  the product shall simulate the sound of a shot hitting its target.',US
10,' When a ship is sunk  the product shall simulate the sound of a sinking ship.',US
10,'The product shall be intuitive and self-explanatory.  Nine out ten users shall be able to successfully complete a game with no training.',US
10,' The product shall be available to players who understand English  Spanish and French.  The product shall allow the user to select the language upon accessing the product.',US
10,'The product shall provide players no access to information that might reveal the identity of another player',SE
11,'The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.',US
11,'The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.',US
11,'The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.',SE
11,'The product shall ensure that only supervisors can enter a callerï¿½s schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.',SE
11,'The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.',SE
11,' The interface shall have a simple look. In the interface and usability survey  90% of beta testers must report that the interface is adequately simple.',US
11,' The interface shall be appealing to callers and supervisors. In the interface and usability survey  80% of beta testers must report that the interface is appealing.',US
12,'The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.',US
12,'The product shall comply with City of Chicago Application Development Guide Framework.Application Development Framework will provide structured Graphical User Interface.',US
12,'The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.',US
12,'The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.',US
12,'The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators)',US
12,' The product shall have security.The product shall provide authentication  and authorization.',SE
12,'The product shall information Security. The product shall enable privacy by encryption WS-Security and Integrity Checking.',SE
12,'The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.',SE
13,'The system shall use IBM and CCR branding standards. The interface must have one IBM logo and one CCR logo.',US
13,'The system shall be displayable on any work computer a CCR user may have. The system interface shall be formatted to display at 800 by 600 pixel resolution.',US
13,'The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports',US
13,'The interface must summarize the data in a fashion thatï¿½s appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface',US
13,'The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard',US
13,'The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.',US
13,'Rreports must be easy to generate. eports must be generated within one button click and exported within one button click (after selecting the report)',US
13,'A user shall be able to use the system without instruction after a short amount of time. After one use a user should understand and remember 90% of the system usage and navigation.',US
13,'All CCR users shall receive training before the WCS system is deployed. One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available)',US
13,'The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.',US
13,'The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management.',SE
13,'The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.',SE
13,'The WCS system shall not allow automatic logins by any user. Cookies containing WCS login information about a user will not be stored on a userï¿½s computer.',SE
14,'Each team owner will need to use a username and password in order to be authenticated to reach the team ownerï¿½s page',SE
14,'The Commissioner will be the only authorized user per league to adjust league settings.',SE
14,'Each page shall contain a navigation menu which shows the index into which the current page is contained.',US
14,'Each page shall contain a similar format with action items in one location and navigation buttons in a different location.',US
14,'The message board shall contain the 5 most recently posted messages on the league page. The messages will contain up to the first 150 characters of the message.',US
14,"'	A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.'",US
14,"' 	Users shall be able to reach the ï¿½addï¿½  ï¿½dropï¿½  and ï¿½trade playerï¿½ pages with one click from the team ownerï¿½s page.'",US
14,"'	Users shall be able to view at least 25 NFL player statistics and points on each page.'",US
14,'The application shall ask the user to confirm dropping a player or trading a player before performing the action.',US
15,"' 	Only authorized user shall access the RFS system. ONLY users that exist in the UAS system  with the RFS system assigned to their role(s)  shall access the RFS system and use it.'",SE
15,"'	User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role..'",SE
15,"' 	The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group  prior to implementation. The remaining 5% will be corrected and approved within one month of product release.'",US
15,' The intranet pages should display appropriately in all resolutions  from 800x600 and higher. The display of all the pages will be correct in 95% of the resolutions  prior to implementation. The remaining 5% will be corrected within a week of notification of the incorrect display.',US
15,"' 	The users should be able to easily use the system to successfully complete their budgets  within the stipulated time for completion. With a week of training prior to product implementation  98% of the users shall complete their budgets within the stipulated time.'",US
