Project.ID,Requirement.description,NFR
1,confidentiality',SE
1,integrity',SE
1,availability',SE
1,accuracy',SE
1,completeness',SE
1,secure',SE
1,access',SE
1,registration',SE
1,authorization',SE
1,indentification',SE
1,auhentication',SE
1,validation',SE
1,transaction',SE
1,user',SE
1,password',SE
1,control',SE
1,encryption',SE
1,key',SE
1,spoofing',SE
1,attack',SE
1,policy',SE
1,logging',SE
1,permission',SE
1,register',SE
1,protection',SE
1,Usefulness',US
1,uniformity',US
1,simplicity',US
1,operability',US
1,intuitiveness',US
1,adaptability',US
1,comprehensibility',US
1,friendliness',US
1,performability',US
1,accessibility',US
1,configurability',US
1,understability',US
1,integration',US
1,management',US
1,usability',US
1,compliance',US
1,cognition',US
1,applicability',US
1,language',US
1,support',US
1,tutorial',US
1,training',US
1,help',US
1,flexibility',US
1,easy',US
1,use',US
1,graphic',US
1,timeliness',US
1,interface',US
1,'The application shall match the color of the schema set forth by Department of Homeland Security',US
1,' If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30',US
1,' If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100',US
1,'The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts',SE
1,'The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.',US
2,'The look and feel of the system shall conform to the user interface standards of the smart device.',US
2,' The user interface shall have standard menus  buttons for navigation',US
2,'The system shall have a professional appearance',US
2,'The product shall have a consistent color scheme and fonts.',US
2,'The system shall be used by realtors with no training.',US
2,'The system shall be intuitive and self explanatory.',US
2,'The product shall be easy for a realtor to learn.',US
2,'The product shall use symbols and words that are naturally understandable by the realtor community.',US
2,'The product shall be installed by an untrained realtor   without recourse to separately-printed instructions.',US
2,'90% of untrained realtors shall be able to install the product on their device without printed instructions',US
2,'Only registered realtors shall be able to access the system.',SE
2,'Every user of the system shall be authenticated and authorized.',SE
2,'The product shall prevent its data from incorrect data being introduced.',SE
3,'The system shall be easy to use by the Program Administrators/Nursing Staff Members.',US
3,'All of the users shall be able to use the system after one day of training.',US
3,'The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.',US
3,'The number of mistakes noted by the students shall be decreased by 50% in the first year.',US
3,'The system shall be intuitive to the Program Administrators/Nursing Staff Members.',US
3,'2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.',US
3,'The system shall use symbols and words that are naturally understandable by the user community.',US
3,'The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.',US
3,'Only authorized users shall have access to clinical site information.',SE
3,'Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.',SE
3,'Only authorized users shall have access to studentsï¿½ personal information.',SE
